classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.833719,0.773504,0.341799,0.661510,0.402416
GNB,0,ROS,0.841969,0.773848,0.345575,0.663462,0.403989
GNB,0,RUS,0.840327,0.768116,0.297333,0.639057,0.381827
GNB,0,SMOTE,0.835152,0.773848,0.345575,0.663462,0.403989
GNB,0,Borderline-SMOTE,0.833804,0.775161,0.348454,0.664767,0.408307
GNB,0,SVM-SMOTE,0.831716,0.772193,0.338920,0.660204,0.398074
GNB,0,ADASYN,0.826120,0.773987,0.341348,0.661187,0.403845
GNB,0,G-SMOTE,0.845162,0.773585,0.325226,0.652733,0.401828
GNB,0,CiFRUS (train),0.836581,0.747475,0.209216,0.597035,0.296479
GNB,0,CiFRUS (train/test),0.802617,0.753894,0.257323,0.620470,0.327090
GNB,0,CiFRUS (balanced-train/test),0.809757,0.753410,0.266124,0.625020,0.327832
GNB,1,Baseline,0.863213,0.772632,0.326154,0.653379,0.398310
GNB,1,ROS,0.863579,0.775079,0.336197,0.658265,0.407155
GNB,1,RUS,0.810059,0.767802,0.293464,0.637105,0.380880
GNB,1,SMOTE,0.865812,0.773784,0.333309,0.656960,0.402561
GNB,1,Borderline-SMOTE,0.864489,0.772152,0.326616,0.653703,0.396644
GNB,1,SVM-SMOTE,0.863277,0.775899,0.339540,0.659894,0.410086
GNB,1,ADASYN,0.864617,0.770526,0.319914,0.650445,0.390691
GNB,1,G-SMOTE,0.861615,0.773922,0.329043,0.654685,0.402988
GNB,1,CiFRUS (train),0.851855,0.746988,0.201220,0.593132,0.293981
GNB,1,CiFRUS (train/test),0.823683,0.753564,0.236649,0.610065,0.323305
GNB,1,CiFRUS (balanced-train/test),0.821991,0.757700,0.257638,0.620160,0.340680
GNB,2,Baseline,0.863239,0.778947,0.344872,0.662182,0.421169
GNB,2,ROS,0.866454,0.779768,0.348215,0.663810,0.424054
GNB,2,RUS,0.825984,0.771310,0.310833,0.645572,0.393800
GNB,2,SMOTE,0.867428,0.780591,0.351556,0.665439,0.426931
GNB,2,Borderline-SMOTE,0.865897,0.777661,0.341978,0.660876,0.416458
GNB,2,SVM-SMOTE,0.869592,0.776371,0.339086,0.659571,0.411787
GNB,2,ADASYN,0.867657,0.778481,0.345321,0.662505,0.419359
GNB,2,G-SMOTE,0.857001,0.773250,0.321402,0.650781,0.400738
GNB,2,CiFRUS (train),0.854245,0.750251,0.210454,0.597371,0.309128
GNB,2,CiFRUS (train/test),0.831159,0.755873,0.246897,0.614951,0.333060
GNB,2,CiFRUS (balanced-train/test),0.832720,0.758974,0.260528,0.621465,0.345841
